NAME,RADEG,DEDEG,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO01278,158.012,32.283,6570.8,8.41,0.75,15.2,L,6570.8,1,10.78,0.52
ECO01279,158.662,7.032,3614.4,8.71,1.68,20.8,L,3614.4,1,10.8,0.25
ECO01280,159.343,37.078,7016.3,10.19,1.17,40.5,L,7016.3,1,11.43,1.28
ECO01281,159.798,-0.557,6816.5,8.49,0.99,11.7,L,6816.5,1,10.77,0.15
ECO01282,159.874,12.492,6446.5,8.39,0.96,10.1,L,6446.5,1,10.75,0.47
ECO01283,160.501,15.979,6413.2,8.45,0.85,10.0,L,6413.2,1,10.75,1.1
ECO01284,160.974,40.277,7055.1,9.11,0.82,22.2,L,7055.1,1,11.13,0.69
ECO01285,161.053,6.754,6107.8,9.41,1.91,10.4,L,6065.0,0,12.21,0.58
ECO01286,161.181,-0.194,4306.0,8.41,1.01,20.5,L,4306.0,1,10.75,0.3
ECO01287,161.396,9.276,5711.6,8.61,1.28,19.0,L,5711.6,1,10.76,0.73
ECO01288,161.56,25.879,6116.2,8.61,1.83,11.8,L,6199.0,0,12.68,3.04
ECO01289,134.277,2.665,3808.4,8.51,1.09,32.8,L,3640.7,0,13.06,1.42
ECO01290,162.381,4.007,5629.0,9.07,1.07,23.2,L,5629.0,1,11.01,0.58
ECO01291,163.24,4.624,5618.1,8.29,1.12,9.2,L,5624.7,0,11.63,0.63
ECO01292,163.885,44.953,5915.3,8.39,0.93,15.5,L,5915.3,1,10.75,0.57
ECO01293,163.915,4.369,6417.0,9.15,1.91,47.5,L,6513.5,0,11.91,1.21
ECO01294,165.282,45.653,7469.0,8.71,0.95,17.3,L,7469.0,1,10.92,0.54
ECO01295,165.456,45.148,3300.6,8.67,1.02,42.7,L,3300.6,1,10.8,0.41
ECO01296,165.474,23.612,6532.6,8.41,0.78,13.2,L,6532.6,1,10.75,1.19
ECO01297,165.702,46.149,6543.4,8.73,1.3,11.8,L,6543.4,1,10.74,2.11
ECO01298,165.814,-0.175,5691.5,8.61,0.95,9.9,L,5691.5,1,10.8,0.28
ECO01299,166.174,45.217,6792.9,8.23,1.02,9.1,L,6550.2,0,13.22,2.15
ECO01300,166.891,26.833,6548.2,8.45,1.53,23.0,L,6548.2,1,10.76,0.77
ECO01301,134.78,3.284,3361.8,8.51,1.36,30.7,L,3361.8,1,10.75,0.3
ECO01302,167.674,48.909,4658.3,8.47,0.64,23.4,L,4658.3,1,10.75,0.17
ECO01303,134.824,0.69,4747.3,9.13,1.53,12.2,E,4747.3,1,10.77,0.18
ECO01304,169.315,47.896,4948.2,8.61,1.18,19.8,L,4868.9,0,11.03,0.38
ECO01305,169.686,2.908,5992.3,8.71,1.18,18.9,L,5992.3,1,10.98,0.52
ECO01306,170.635,27.582,6312.9,8.11,0.96,19.5,L,6312.9,1,10.78,0.77
ECO01307,171.803,8.788,6042.9,8.69,1.31,24.1,L,6042.9,1,10.8,1.19
ECO01308,171.836,33.913,6343.0,8.45,1.18,16.2,L,6304.7,0,10.92,0.78
ECO01309,172.331,3.089,5029.3,8.19,0.89,29.4,L,5029.3,1,10.75,0.35
ECO01310,172.757,14.567,4571.4,8.31,0.7,10.1,L,4571.4,1,10.81,0.2
ECO01311,172.868,0.495,5768.4,8.31,0.96,11.1,L,5768.4,1,10.74,0.98
ECO01312,135.079,32.781,6648.0,8.19,0.67,20.3,L,6648.0,1,10.77,0.16
ECO01313,173.597,15.667,5075.1,8.39,1.49,20.5,L,5064.3,0,11.55,1.11
ECO01314,173.807,1.673,3955.6,8.51,0.69,13.6,L,3955.6,1,10.75,0.16
ECO01315,174.213,7.674,5281.7,8.27,1.0,27.4,L,5281.7,1,10.76,0.32
ECO01316,175.039,15.327,3234.9,9.67,1.13,23.4,L,3228.6,0,11.9,2.47
ECO01317,175.349,24.858,3844.5,8.49,1.49,17.8,L,3578.4,0,12.84,1.82
ECO01318,135.214,38.215,5304.7,8.95,1.5,21.1,L,5304.7,1,11.02,0.18
ECO01319,175.486,10.285,6257.2,8.65,1.69,13.6,L,6118.6,0,13.45,2.46
ECO01320,175.552,0.334,5393.3,9.69,0.63,15.6,L,5368.5,1,11.75,0.78
ECO01321,175.712,8.853,6341.6,8.93,0.79,13.3,L,6288.2,0,12.89,2.58
ECO01322,175.805,22.007,6768.8,8.53,0.83,9.5,E,6768.8,1,10.75,2.6
ECO01323,175.986,11.941,2995.1,8.29,0.75,20.3,L,2995.1,1,10.74,1.09
ECO01324,176.134,6.704,5719.9,8.35,1.1,13.4,L,5719.9,1,10.75,0.89
ECO01325,135.595,12.998,5002.9,8.47,0.74,18.6,L,4902.6,0,11.27,0.41
ECO01326,176.407,6.686,5725.6,6.43,2.22,19.8,L,5725.6,1,10.81,0.94
ECO01327,176.488,4.748,6139.2,8.71,1.05,13.7,L,6139.2,1,10.93,0.41
ECO01328,176.651,32.521,6572.1,8.35,1.11,17.8,L,6572.1,1,10.78,0.37
ECO01329,176.802,41.165,6274.6,8.69,0.96,18.0,L,6274.6,1,10.85,0.19
ECO01330,176.996,10.141,2982.2,8.71,0.63,34.3,L,2982.2,1,10.79,0.83
ECO01331,177.347,2.693,5908.5,8.51,1.19,21.7,L,5908.5,1,10.76,1.12
ECO01332,177.527,24.921,3538.6,9.89,1.02,38.1,L,3589.9,1,11.55,1.6
ECO01333,178.063,2.533,5947.0,8.35,0.64,7.1,L,5947.0,1,10.81,1.01
ECO01334,178.092,11.995,6658.0,8.77,0.79,17.7,L,6623.7,0,11.24,0.59
ECO01335,178.329,25.99,5410.4,8.31,0.6,27.1,L,5410.4,1,10.77,0.17
ECO01336,178.727,30.708,3233.3,8.57,1.17,16.1,E,3233.3,1,10.74,2.1
ECO01337,178.971,33.047,3129.9,8.33,0.83,26.7,L,3176.8,0,11.28,2.16
ECO01338,179.101,11.506,6388.9,8.33,1.11,18.9,L,6388.9,1,10.75,1.39
ECO01339,179.126,24.582,5098.3,8.75,0.96,9.5,L,5073.0,0,11.09,0.52
ECO01340,135.929,29.295,2938.9,9.37,1.0,17.3,E,2938.9,1,11.05,0.33
ECO01341,179.451,12.038,2646.9,8.57,1.15,43.0,L,2646.9,1,10.75,0.34
ECO01342,179.467,25.048,4228.9,8.63,1.54,25.7,L,4343.0,0,13.31,2.41
ECO01343,179.622,40.444,3278.3,8.43,0.79,17.2,L,3278.3,1,10.78,0.21
ECO01344,179.656,15.226,6443.8,8.97,1.62,33.8,L,6443.8,1,10.94,0.45
ECO01345,180.397,4.593,6179.6,8.93,1.3,12.4,L,6179.6,1,10.84,0.98
ECO01346,130.808,40.814,7197.9,8.35,0.98,12.8,L,7197.9,1,10.76,0.55
ECO01347,131.44,38.458,7465.8,9.95,1.48,8.4,L,7465.8,1,11.26,0.2
ECO01348,136.429,36.33,7082.0,9.07,2.07,7.5,E,7084.2,0,12.78,1.65
ECO01349,163.826,37.112,7388.5,8.85,1.16,13.5,L,7388.5,1,10.9,0.53
ECO01350,164.413,36.687,7469.6,8.91,1.28,7.3,L,7469.6,1,10.88,0.55
ECO01351,164.947,33.517,7031.4,8.77,1.09,5.8,E,7031.4,1,10.78,0.25
ECO01352,165.381,25.556,6201.5,8.51,1.31,18.5,L,6201.5,1,10.81,1.79
ECO01353,165.509,36.76,7423.7,8.97,1.92,6.7,E,7416.3,0,12.11,0.82
ECO01354,165.574,3.495,7394.5,8.75,1.0,14.9,L,7394.5,1,10.8,1.19
ECO01355,165.612,35.337,7397.9,8.89,1.06,18.8,L,7397.9,1,10.9,0.47
ECO01356,165.661,1.746,6042.7,8.55,0.73,14.0,L,6042.7,1,10.81,0.18
ECO01357,165.736,32.695,7158.3,8.57,1.05,4.8,E,7158.3,1,10.76,0.21
ECO01358,165.929,14.785,6287.1,8.61,0.77,12.6,L,6287.1,1,10.81,0.41
ECO01359,137.242,28.301,6516.9,9.11,0.77,26.3,L,6473.3,0,11.1,1.24
ECO01360,166.163,31.078,6859.7,8.47,0.74,14.2,L,6859.7,1,10.8,0.16
ECO01361,166.444,4.574,7432.8,8.45,1.17,4.1,E,7432.8,1,10.76,1.03
ECO01362,166.639,14.642,7288.1,8.69,0.86,12.9,L,7288.1,1,10.88,0.21
ECO01363,166.806,3.356,7409.8,8.79,0.73,17.7,L,7409.8,1,10.82,1.31
ECO01364,166.834,4.542,6724.6,8.99,1.86,14.1,L,6724.6,1,10.8,1.33
ECO01365,168.934,47.62,7459.6,8.59,0.9,11.9,L,7459.6,1,10.8,0.28
ECO01366,169.092,36.524,7399.3,8.61,0.57,11.8,L,7399.3,1,10.82,0.65
ECO01367,169.514,29.357,7058.5,8.35,0.55,7.5,L,7083.2,0,11.67,1.38
ECO01368,169.575,31.335,6988.0,8.77,1.1,4.4,E,6988.0,1,10.81,0.85
ECO01369,137.346,27.62,6754.0,8.75,1.22,16.9,L,6623.4,1,10.94,0.69
ECO01370,170.248,31.631,7079.4,8.81,0.78,21.3,L,7079.4,1,10.87,0.92
ECO01371,171.773,35.835,6552.6,8.61,1.29,16.0,L,6552.6,1,10.83,0.28
ECO01372,172.83,28.272,7036.8,8.57,1.42,14.9,L,6942.4,0,13.11,2.49
ECO01373,173.422,15.136,6035.2,8.63,0.68,16.1,L,6035.2,1,10.81,0.44
ECO01374,173.692,32.232,7117.5,8.63,0.77,8.6,L,7117.5,1,10.78,0.29
ECO01375,173.976,39.733,7108.6,8.45,0.74,10.1,L,7108.6,1,10.79,0.35
ECO01376,174.143,31.657,7052.8,8.55,0.78,19.6,L,7052.8,1,10.88,0.38
ECO01377,174.922,7.075,6361.1,8.49,1.26,16.4,L,6357.3,0,11.09,0.89
ECO01378,175.513,49.357,7374.7,7.29,0.61,16.2,L,7374.7,1,10.79,0.31
ECO01379,137.399,29.971,6995.8,8.87,1.0,4.1,E,6867.7,1,10.98,1.06
ECO01380,175.697,20.91,6980.5,8.87,1.94,10.3,E,6980.5,1,10.76,2.75
ECO01381,176.179,7.878,6336.0,8.57,1.37,14.5,L,6336.0,1,10.85,1.23
ECO01382,177.054,21.494,7272.1,8.77,1.44,13.8,L,7272.1,1,10.84,1.36
ECO01383,177.263,13.681,7075.4,8.59,0.83,14.1,L,7075.4,1,10.84,0.65
ECO01384,177.268,35.04,6335.7,8.71,0.61,9.0,L,6365.6,0,12.34,1.33
ECO01385,177.287,21.211,7219.2,8.71,1.27,14.4,L,7277.0,0,11.28,1.45
ECO01386,177.31,36.763,6599.3,8.47,0.85,17.5,L,6599.3,1,10.8,0.4
ECO01387,177.376,22.14,7047.1,8.77,0.64,15.9,L,7047.1,1,10.87,1.37
ECO01388,177.526,37.1,6369.6,8.55,0.98,20.9,L,6369.6,1,10.82,0.69
ECO01389,177.725,13.74,7009.8,8.77,1.13,13.6,L,7056.0,0,11.31,0.78
ECO01390,137.463,29.936,6739.5,8.87,1.61,13.7,L,6867.7,0,10.98,1.08
ECO01391,177.956,21.154,6943.3,8.41,1.07,10.3,L,6835.2,0,12.32,4.81
ECO01392,178.035,15.212,6144.0,8.69,1.09,12.7,L,6114.4,0,11.13,0.86
ECO01393,178.165,6.363,6911.1,8.59,1.14,16.1,L,6911.1,1,10.82,0.69
ECO01394,178.243,14.524,6274.5,8.69,0.83,15.0,E,6274.5,1,10.81,1.0
ECO01395,178.407,16.012,6866.1,8.79,0.6,19.9,L,6866.1,1,10.89,0.62
ECO01396,178.56,35.706,6398.2,8.63,1.29,14.6,L,6444.9,0,11.26,1.71
ECO01397,178.596,35.742,6397.5,8.45,0.7,15.6,L,6444.9,0,11.26,1.65
ECO01398,178.966,36.375,6360.0,8.69,0.89,17.9,L,6360.0,1,10.81,1.15
ECO01399,179.125,8.451,6660.0,8.49,1.05,10.5,L,6660.0,1,10.8,0.26
ECO01400,180.111,1.669,6261.3,8.99,2.02,13.3,E,6261.3,1,10.76,0.74
ECO01401,137.499,27.414,6804.8,8.43,1.06,8.0,L,6804.8,1,10.81,0.28
ECO01402,180.535,36.747,6874.8,8.45,0.7,5.1,L,6874.8,1,10.83,0.81
ECO01403,180.743,7.607,6472.5,8.53,1.3,22.8,L,6472.5,1,10.84,0.54
ECO01404,180.832,8.217,5985.5,8.61,1.14,24.7,L,5985.5,1,10.86,0.67
ECO01405,180.84,33.207,7303.8,8.53,0.79,5.2,L,7303.8,1,10.8,0.81
ECO01406,181.169,2.139,7078.4,8.93,1.93,8.1,E,7078.4,1,10.75,0.16
ECO01407,181.17,37.945,6805.6,8.57,0.93,27.9,L,6805.6,1,10.86,1.36
ECO01408,181.174,33.84,6862.7,8.49,0.92,9.6,L,6862.7,1,10.78,0.54
ECO01409,181.346,15.447,6820.2,8.65,1.1,13.8,L,6777.8,0,11.55,1.48
ECO01410,181.353,38.458,6183.0,8.87,0.77,21.9,L,6183.0,1,10.89,0.76
ECO01411,181.374,31.012,7086.1,8.85,1.86,17.8,L,7014.2,0,12.14,2.14
ECO01412,137.641,29.704,6644.0,9.05,2.02,7.6,E,6644.0,1,10.8,1.27
ECO01413,181.617,32.9,7121.4,8.69,1.02,10.9,L,7199.2,0,11.53,1.39
ECO01414,181.742,14.079,6993.8,8.57,1.04,15.5,L,6993.8,1,10.83,1.14
ECO01415,181.77,33.21,7088.2,8.73,1.73,11.7,L,7088.2,1,10.78,1.06
ECO01416,181.778,6.864,6629.6,8.63,1.35,8.9,L,6629.6,1,10.82,0.34
ECO01417,181.979,31.476,7031.6,8.91,0.82,14.2,L,7031.6,1,10.78,1.96
ECO01418,182.11,30.037,7398.4,8.59,1.29,10.4,L,7398.4,1,10.77,0.18
ECO01419,182.241,40.304,7461.4,8.69,1.41,5.1,E,7461.4,1,10.79,0.16
ECO01420,182.276,1.106,7413.6,8.51,1.31,4.1,E,7413.6,1,10.77,0.17
ECO01421,182.303,38.114,6943.2,8.45,1.1,8.5,L,6910.6,0,11.04,1.83
ECO01422,138.28,24.693,6219.4,8.73,1.23,6.4,E,6219.4,1,10.81,0.21
ECO01423,182.414,39.145,6486.9,8.65,1.0,8.7,L,6486.9,1,10.81,1.11
ECO01424,182.806,7.494,6127.8,8.53,0.92,11.6,L,6127.8,1,10.82,0.22
ECO01425,182.816,38.773,7093.2,8.43,0.67,12.2,L,7085.4,0,11.3,1.39
ECO01426,182.883,36.859,7301.0,8.55,1.16,14.2,L,7301.0,1,10.79,0.52
ECO01427,182.902,38.61,7186.6,8.61,1.18,6.7,L,7186.6,1,10.86,1.23
ECO01428,183.113,15.902,7042.1,8.33,0.93,10.0,L,7042.1,1,10.8,2.02
